player_name,total_runs,total_matches,total_innings,total_not_outs,average,total_balls_faced,strike_rate,hundreds,fifties,fours,sixes
Yogesh Takawale,104,5,5,0,20.8,91,114.28,0,0,17,1
Younis Khan,3,1,1,0,3,7,42.85,0,0,0,0
Yudhvir Singh,22,5,4,0,5.5,16,100,0,0,1,2
Yusuf Pathan,3204,174,154,44,30.3,2241,138.14,1,13,262,158
Yuvraj Singh,2750,132,126,15,24.5,2120,128.2,0,13,217,149
Yuzvendra Chahal,37,117,20,13,1.67,86,52.55,0,0,0,0
Zaheer Khan,117,91,32,18,9,141,85.71,0,0,11,2
Mayank Yadav,0,4,4,0,0,0,0,0,0,0,0
Yash Thakur,0,20,20,0,0,0,0,0,0,0,0
Ben Hilfenhaus,0,17,1,1,0,0,0,0,0,0,0
Lungisani Ngidi,0,14,0,0,0,0,0,0,0,0,0
Joshua Little,0,11,0,0,0,0,0,0,0,0,0
Prasanth Parameswaran,1,8,2,2,0,2,50,0,0,0,0
Matheesha Pathirana,0,24,0,0,0,0,0,0,0,0,0
